Nome	Constelação	Área de Influência	Interpretação (Astrologia Horária)	 
Chara	β Canum Venaticorum	Lealdade e parceria	Em horária, Chara simboliza fidelidade e apoio mútuo. Bem colocada, relações sólidas. Se aflita, dependência. Em negócios, sociedade confiável. No amor, compromisso.	 
Chertan	θ Leonis	Decisão e foco	Em horária, Chertan indica clareza para escolher caminhos. Bem colocado, decisões certeiras. Se aflito, indecisão. Em negócios, estratégias definidas. No amor, escolha consciente.	 
Cor Caroli	α Canum Venaticorum	Proteção e liderança	Em horária, Cor Caroli indica apoio de figuras influentes. Bem colocado, liderança respeitada. Se aflito, manipulação. Em negócios, patrocínio. No amor, cuidado mútuo.	 
Cursa	β Eridani	Transição e movimento	Em horária, Cursa simboliza passagens e deslocamentos. Bem colocada, favorece viagens. Se aflita, mudanças forçadas. Em negócios, expansão. No amor, novos rumos.	 
Dabih	β Capricorni	Harmonia e equilíbrio	Em horária, Dabih reforça acordos e estabilidade. Bem colocado, favorece alianças. Se aflito, rupturas. Em negócios, fusões bem-sucedidas. No amor, reconciliação.	 
Deneb	α Cygni	Inspiração e elevação	Em horária, Deneb simboliza ideais elevados e criatividade. Bem colocada, favorece projetos artísticos. Se aflita, ilusões. Em negócios, inovação. No amor, idealismo.	 
Deneb Algedi	δ Capricorni	Proteção e justiça	Em horária, Deneb Algedi simboliza defesa e retidão. Bem colocada, preserva integridade. Se aflita, injustiça. Em negócios, ética. No amor, lealdade.	 
Denebola	β Leonis	Mudança e inovação	Em horária, Denebola indica alterações rápidas. Bem colocada, favorece progresso. Se aflita, instabilidade. Em negócios, renovação. No amor, rompimentos.	 
Diphda	β Ceti	Resistência e prudência	Em horária, Diphda simboliza cautela e resiliência. Bem colocada, evita riscos. Se aflita, medo excessivo. Em negócios, segurança. No amor, prudência.	 
Dschubba	δ Scorpii	Estratégia e precisão	Em horária, Dschubba representa planos elaborados. Bem colocada, sucesso em táticas. Se aflita, intriga. Em negócios, negociação. No amor, movimentos calculados.	 
Dubhe	α Ursae Majoris	Proteção e tradição	Em horária, Dubhe simboliza preservação de valores. Bem colocada, segurança. Se aflita, conservadorismo excessivo. Em negócios, manutenção de mercado. No amor, estabilidade.	 
Dziban	ψ Draconis	Prudência e reserva	Em horária, Dziban indica comportamento discreto. Bem colocada, evita conflitos. Se aflita, isolamento. Em negócios, confidencialidade. No amor, reserva.	 
Edasich	ι Draconis	Paciência e estratégia	Em horária, Edasich simboliza ações calculadas e paciência para colher resultados. Bem colocada, favorece planos de longo prazo. Se aflita, indica lentidão excessiva ou perda de oportunidade. Em negócios, reforça segurança. No amor, estabilidade.	 
Electra	17 Tauri	Clareza e visão	Em horária, Electra representa percepção aguçada e iluminação de questões ocultas. Bem colocada, revela a verdade. Se aflita, indica confusão mental. Em negócios, favorece diagnósticos precisos. No amor, entendimento mútuo.	 
Eltanin	γ Draconis	Proteção e força	Em horária, Eltanin simboliza defesa firme e estabilidade em tempos difíceis. Bem colocada, oferece segurança. Se aflita, teimosia. Em negócios, posição sólida. No amor, proteção.	 
Enif	ε Pegasi	Visão e autoridade	Em horária, Enif indica liderança e clareza estratégica. Bem colocada, orienta decisões corretas. Se aflita, arrogância. Em negócios, guia projetos. No amor, postura firme.	 
Epsilon Indi	ε Indi	Pragmatismo e simplicidade	Em horária, Epsilon Indi sugere soluções práticas e diretas. Bem colocada, evita complicações. Se aflita, falta de criatividade. Em negócios, eficiência. No amor, objetividade.	 
Epsilon Pegasi	ε Pegasi	Confiabilidade e firmeza	Em horária, Epsilon Pegasi representa estabilidade e confiança. Bem colocada, assegura resultados consistentes. Se aflita, rigidez. Em negócios, contratos duradouros. No amor, lealdade.	 
Epsilon Sagittarii	ε Sagittarii	Clareza e franqueza	Em horária, Epsilon Sagittarii indica transparência e comunicação direta. Bem colocada, favorece acordos claros. Se aflita, indiscrição. Em negócios, contratos transparentes. No amor, sinceridade.	 
Epsilon Scorpii	ε Scorpii	Coragem e enfrentamento	Em horária, Epsilon Scorpii simboliza enfrentamento direto de problemas. Bem colocada, resolve desafios. Se aflita, agressividade. Em negócios, ações rápidas. No amor, paixão combativa.	 
Epsilon Tauri	ε Tauri	Segurança e continuidade	Em horária, Epsilon Tauri indica manutenção de estabilidade. Bem colocada, garante proteção. Se aflita, estagnação. Em negócios, preservação de recursos. No amor, lealdade.	 
Epsilon Ursae Majoris	ε Ursae Majoris	Prestígio e destaque	Em horária, Epsilon Ursae Majoris simboliza posição honrada. Bem colocada, reforça reputação. Se aflita, orgulho. Em negócios, visibilidade. No amor, admiração.	 
Epsilon Virginis	ε Virginis	Tradição e honra	Em horária, Epsilon Virginis indica manutenção de princípios e valores. Bem colocada, preserva reputação. Se aflita, rigidez. Em negócios, estabilidade. No amor, constância.	 
Eta Aquilae	η Aquilae	Mudança e movimento	Em horária, Eta Aquilae representa transições rápidas e adaptação. Bem colocada, garante êxito em ajustes. Se aflita, instabilidade. Em negócios, mudanças estratégicas. No amor, renovação.	 
Eta Cassiopeiae	η Cassiopeiae	Cooperação e amizade	Em horária, Eta Cassiopeiae simboliza apoio mútuo e solidariedade. Bem colocada, favorece acordos amigáveis. Se aflita, dependência. Em negócios, parcerias de confiança. No amor, cumplicidade.	 
Eta Centauri	η Centauri	Força e iniciativa	Em horária, Eta Centauri indica ação decidida e coragem. Bem colocada, favorece vitórias rápidas. Se aflita, impulsividade. Em negócios, liderança ativa. No amor, paixão.	 
Eta Ophiuchi	η Ophiuchi	Estabilidade e união	Em horária, Eta Ophiuchi reforça compromissos e alianças duradouras. Bem colocada, garante confiança mútua. Se aflita, acomodação excessiva. Em negócios, contratos sólidos. No amor, fidelidade.	 
Eta Orionis	η Orionis	Determinação e visão	Em horária, Eta Orionis simboliza clareza de propósito e foco em objetivos. Bem colocada, favorece metas ousadas. Se aflita, rigidez. Em negócios, expansão. No amor, determinação.	 
Eta Pegasi	η Pegasi	Progresso e direção	Em horária, Eta Pegasi indica avanço constante. Bem colocada, garante evolução positiva. Se aflita, desvio de rota. Em negócios, crescimento. No amor, continuidade.	 
Eta Piscium	η Piscium	Adaptação e resiliência	Em horária, Eta Piscium representa flexibilidade para lidar com mudanças. Bem colocada, favorece recuperação após crises. Se aflita, instabilidade. Em negócios, adaptação rápida. No amor, superação.	 
Eta Ursae Majoris	η Ursae Majoris	Independência e decisão	Em horária, Eta Ursae Majoris reforça postura autônoma. Bem colocada, sucesso por mérito próprio. Se aflita, isolamento. Em negócios, projetos individuais. No amor, liberdade.	 
Fomalhaut	α Piscis Austrini	Pureza e inspiração	Em horária, Fomalhaut simboliza ideais elevados, proteção espiritual e visão clara. Bem colocada, favorece causas nobres e inspiração criativa. Se aflita, risco de ilusões e expectativas irreais. Em negócios, reforça projetos éticos. No amor, sentimentos profundos e leais.	 
Formalhaut B	TW Piscis Austrini	Apoio e constância	Em horária, Formalhaut B representa presença estável e suporte discreto. Bem colocada, reforça segurança. Se aflita, dependência excessiva. Em negócios, auxilia em bastidores. No amor, vínculo protetor.	 
Gacrux	γ Crucis	Guia e proteção	Em horária, Gacrux simboliza direção clara e auxílio em momentos críticos. Bem colocada, conduz ao sucesso. Se aflita, perda de rumo. Em negócios, liderança moral. No amor, proteção mútua.	 
Gienah	γ Corvi	Estratégia e precisão	Em horária, Gienah indica ação calculada e foco em resultados. Bem colocada, garante êxito. Se aflita, manipulação. Em negócios, negociações estratégicas. No amor, clareza de intenções.	 
Gienah Cygni	ε Cygni	Flexibilidade e adaptação	Em horária, Gienah Cygni representa mudanças positivas e ajustes rápidos. Bem colocada, favorece adaptação. Se aflita, instabilidade. Em negócios, reestruturação. No amor, renovação.	 
Girtab	κ Scorpii	Força e determinação	Em horária, Girtab simboliza energia combativa e persistência. Bem colocada, garante superação. Se aflita, confrontos. Em negócios, competitividade. No amor, intensidade.	 
Graffias	β Scorpii	Proteção e união	Em horária, Graffias representa defesa de alianças e fidelidade. Bem colocada, preserva laços. Se aflita, ciúmes. Em negócios, parcerias sólidas. No amor, compromisso.	 
Grumium	ξ Draconis	Resistência e vigilância	Em horária, Grumium indica atenção constante e força diante de adversidades. Bem colocada, protege de riscos. Se aflita, paranoia. Em negócios, monitoramento. No amor, cuidado contínuo.	 
Hadar	β Centauri	Progresso e liderança	Em horária, Hadar simboliza avanço decidido e comando firme. Bem colocada, garante conquistas. Se aflita, autoritarismo. Em negócios, expansão. No amor, firmeza.	 
Hamal	α Arietis	Decisão e firmeza	Em horária, Hamal representa determinação e clareza de objetivo. Bem colocada, garante êxito em decisões importantes. Se aflita, teimosia. Em negócios, foco. No amor, compromisso.	 
Hassaleh	ι Aurigae	Proteção e perseverança	Em horária, Hassaleh indica estabilidade e resistência. Bem colocada, garante segurança em crises. Se aflita, rigidez. Em negócios, manutenção de posição. No amor, lealdade.	 
Heze	ζ Virginis	Harmonia e diplomacia	Em horária, Heze simboliza equilíbrio nas relações e resolução pacífica de conflitos. Bem colocada, garante acordos. Se aflita, indecisão. Em negócios, parcerias. No amor, entendimento.	 
Hoedus I	ζ Aurigae	Atenção e cuidado	Em horária, Hoedus I representa alerta e proteção preventiva. Bem colocada, evita problemas. Se aflita, ansiedade. Em negócios, prevenção de riscos. No amor, zelo.	 
Hoedus II	η Aurigae	Vigilância e prontidão	Em horária, Hoedus II simboliza preparo para agir rapidamente. Bem colocada, garante respostas ágeis. Se aflita, precipitação. Em negócios, ação preventiva. No amor, cuidado.	 
Homam	ζ Pegasi	Prudência e cálculo	Em horária, Homam indica decisões ponderadas e seguras. Bem colocada, evita riscos desnecessários. Se aflita, indecisão. Em negócios, análise cuidadosa. No amor, cautela.	 
Hyadum I	γ Tauri	Segurança e tradição	Em horária, Hyadum I representa preservação de valores e estabilidade. Bem colocada, mantém estrutura. Se aflita, apego excessivo. Em negócios, conservação de recursos. No amor, constância.	 
Hyadum II	δ Tauri	Proteção e continuidade	Em horária, Hyadum II simboliza apoio firme e relações duradouras. Bem colocada, reforça estabilidade. Se aflita, estagnação. Em negócios, contratos estáveis. No amor, compromisso.	 
Izar	ε Bootis	Parceria e harmonia	Em horária, Izar indica equilíbrio em sociedades e colaborações. Bem colocada, fortalece vínculos. Se aflita, desequilíbrio. Em negócios, alianças produtivas. No amor, união.	 
Jabbah	ν Scorpii	Proteção e apoio	Em horária, Jabbah representa auxílio de aliados influentes. Bem colocada, garante suporte. Se aflita, dependência. Em negócios, patrocínio. No amor, segurança.	 
Jih	κ Pegasi	Comunicação e troca	Em horária, Jih simboliza clareza no diálogo e troca de informações úteis. Bem colocada, resolve impasses. Se aflita, má comunicação. Em negócios, negociações. No amor, entendimento.	 
Kaus Australis	ε Sagittarii	Determinação e foco	Em horária, Kaus Australis simboliza firmeza de propósito e clareza na execução de planos. Bem colocada, garante avanço seguro. Se aflita, inflexibilidade. Em negócios, foco estratégico. No amor, compromisso sólido.	 
Kaus Borealis	λ Sagittarii	Proteção e visão ampla	Em horária, Kaus Borealis indica clareza para enxergar riscos e oportunidades. Bem colocada, favorece decisões sábias. Se aflita, excesso de cautela. Em negócios, visão estratégica. No amor, prudência.	 
Kaus Media	δ Sagittarii	Estabilidade e controle	Em horária, Kaus Media simboliza administração equilibrada e domínio das circunstâncias. Bem colocada, garante sucesso na gestão. Se aflita, rigidez. Em negócios, controle firme. No amor, constância.	 
Kitalpha	α Equulei	Harmonia e cooperação	Em horária, Kitalpha representa entendimento mútuo e colaborações eficazes. Bem colocada, assegura bons acordos. Se aflita, dependência. Em negócios, parcerias equilibradas. No amor, cumplicidade.	 
Kochab	β Ursae Minoris	Estabilidade e proteção	Em horária, Kochab simboliza segurança e apoio firme. Bem colocada, oferece confiança. Se aflita, estagnação. Em negócios, mercado estável. No amor, lealdade.	 
Kornephoros	β Herculis	Força e autoridade	Em horária, Kornephoros indica liderança respeitada e capacidade de comando. Bem colocada, favorece decisões justas. Se aflita, autoritarismo. Em negócios, gestão firme. No amor, postura protetora.	 
Kurhah	ξ Cephei	Prudência e sigilo	Em horária, Kurhah simboliza discrição e análise cuidadosa antes de agir. Bem colocada, evita riscos. Se aflita, omissão. Em negócios, informação estratégica. No amor, reserva.	 
Lesath	υ Scorpii	Precisão e alerta	Em horária, Lesath indica atenção a detalhes e ação cirúrgica. Bem colocada, previne erros. Se aflita, paranoia. Em negócios, auditoria precisa. No amor, vigilância.	 
Maia	20 Tauri	Clareza e inspiração	Em horária, Maia simboliza visão inspiradora e energia criativa. Bem colocada, favorece inovação. Se aflita, dispersão. Em negócios, ideias originais. No amor, encanto.	 
Marfik	λ Ophiuchi	Prudência e flexibilidade	Em horária, Marfik indica adaptação estratégica diante de mudanças. Bem colocada, preserva estabilidade. Se aflita, indecisão. Em negócios, ajustes inteligentes. No amor, conciliação.	 
Markab	α Pegasi	Estabilidade e disciplina	Em horária, Markab simboliza postura firme e regras claras. Bem colocada, mantém ordem. Se aflita, rigidez. Em negócios, processos organizados. No amor, constância.	 
Marsic	κ Capricorni	Resistência e cuidado	Em horária, Marsic indica paciência e atenção a detalhes. Bem colocada, garante bons resultados a longo prazo. Se aflita, lentidão. Em negócios, prudência. No amor, cuidado.	 
Matar	η Pegasi	Progresso e visão	Em horária, Matar simboliza avanço com propósito claro. Bem colocada, favorece evolução constante. Se aflita, dispersão. Em negócios, expansão. No amor, renovação.	 
Mebsuta	ε Geminorum	Proteção e apoio	Em horária, Mebsuta indica amparo e assistência confiável. Bem colocada, favorece parcerias de confiança. Se aflita, dependência. Em negócios, apoio mútuo. No amor, estabilidade.	 
Megrez	δ Ursae Majoris	Conexão e continuidade	Em horária, Megrez representa ligações duradouras e preservação de vínculos. Bem colocada, mantém coesão. Se aflita, apego. Em negócios, redes de contato. No amor, laços fortes.	 
Meissa	λ Orionis	Expansão e visão	Em horária, Meissa simboliza abertura para novas oportunidades. Bem colocada, favorece exploração. Se aflita, falta de foco. Em negócios, inovação. No amor, novos caminhos.	 
Menkalinan	β Aurigae	Parceria e estabilidade	Em horária, Menkalinan indica união sólida e confiabilidade. Bem colocada, fortalece sociedades. Se aflita, dependência excessiva. Em negócios, alianças. No amor, compromisso.	 
Menkar	α Ceti	Empatia e conexão	Em horária, Menkar simboliza sensibilidade e ligação emocional com o coletivo. Bem colocada, favorece trabalhos em grupo. Se aflita, vulnerabilidade. Em negócios, cooperação. No amor, compreensão.	 
Menkent	θ Centauri	Proteção e prudência	Em horária, Menkent indica cautela e defesa de valores. Bem colocada, previne perdas. Se aflita, medo excessivo. Em negócios, gestão cuidadosa. No amor, reserva.	 
Menkib	ξ Persei	Coragem e visão	Em horária, Menkib simboliza iniciativa ousada e inspiração para enfrentar desafios. Bem colocada, garante avanços. Se aflita, imprudência. Em negócios, expansão. No amor, audácia.	 
Merak	Beta (β) Ursa Major	Parcerias e união	Em Astrologia Horária, Merak costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Merga	38 Bootes	Combate e estratégia	Em Astrologia Horária, Merga costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Merope	23 Taurus	Direção e propósito	Em Astrologia Horária, Merope costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mesarthim	Gamma (γ) Aries	Conhecimento e sabedoria	Em Astrologia Horária, Mesarthim costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Metallah	Alpha (α) Triangulum	Direção e propósito	Em Astrologia Horária, Metallah costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Miaplacidus	Beta (β) Carina in the Ship Argo Navis	Viagens e deslocamentos	Em Astrologia Horária, Miaplacidus costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mimosa	Beta (β) Crux	Conhecimento e sabedoria	Em Astrologia Horária, Mimosa costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Minkar	Epsilon (ε) Corvus	Conhecimento e sabedoria	Em Astrologia Horária, Minkar costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mintaka	Delta (δ) Orion	Viagens e deslocamentos	Em Astrologia Horária, Mintaka costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mira	Omicron (ο) Cetus	Combate e estratégia	Em Astrologia Horária, Mira costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mirach	Beta (β) Andromeda	Viagens e deslocamentos	Em Astrologia Horária, Mirach costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Miram	Eta (η) Perseus	Combate e estratégia	Em Astrologia Horária, Miram costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mirfak	Alpha (α) Perseus	Combate e estratégia	Em Astrologia Horária, Mirfak costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mirzam	Beta (β) Canis Major	Combate e estratégia	Em Astrologia Horária, Mirzam costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Misam	Kappa (κ) Perseus	Combate e estratégia	Em Astrologia Horária, Misam costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mizar	Zeta (ζ) Ursa Major	Viagens e deslocamentos	Em Astrologia Horária, Mizar costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Mufrid	Eta (η) Bootes	Combate e estratégia	Em Astrologia Horária, Mufrid costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Muliphein	Gamma (γ) Canis Major	Combate e estratégia	Em Astrologia Horária, Muliphein costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Muscida	Omicron (ο) Ursa Major	Parcerias e união	Em Astrologia Horária, Muscida costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Naos	Zeta (ζ) Puppis the Ship Argo Navis	Viagens e deslocamentos	Em Astrologia Horária, Naos costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Nashira	Gamma (γ) Capricornus	Conhecimento e sabedoria	Em Astrologia Horária, Nashira costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Nekkar	Beta (β) Bootes	Combate e estratégia	Em Astrologia Horária, Nekkar costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
